Country,MetricYear,Value,Organism,Drug
Latvia,%R_2013,,Acinetobacter spp,fluoroquinolones
Bulgaria,%R_2013,70.2,Acinetobacter spp,fluoroquinolones
Italy,%R_2013,83.1,Acinetobacter spp,fluoroquinolones
Cyprus,%R_2013,60.6,Acinetobacter spp,fluoroquinolones
Poland,%R_2013,81.4,Acinetobacter spp,fluoroquinolones
Croatia,%R_2013,92.9,Acinetobacter spp,fluoroquinolones
Lithuania,%R_2013,,Acinetobacter spp,fluoroquinolones
Greece,%R_2013,95.0,Acinetobacter spp,fluoroquinolones
Estonia,%R_2013,,Acinetobacter spp,fluoroquinolones
Iceland,%R_2013,,Acinetobacter spp,fluoroquinolones
Luxembourg,%R_2013,,Acinetobacter spp,fluoroquinolones
Belgium,N_2014,4.0,Acinetobacter spp,fluoroquinolones
Finland,N_2014,31.0,Acinetobacter spp,fluoroquinolones
Sweden,N_2014,52.0,Acinetobacter spp,fluoroquinolones
Ireland,N_2014,86.0,Acinetobacter spp,fluoroquinolones
Denmark,N_2014,69.0,Acinetobacter spp,fluoroquinolones
Netherlands,N_2014,72.0,Acinetobacter spp,fluoroquinolones
United Kingdom,N_2014,123.0,Acinetobacter spp,fluoroquinolones
Germany,N_2014,199.0,Acinetobacter spp,fluoroquinolones
Norway,N_2014,34.0,Acinetobacter spp,fluoroquinolones
Malta,N_2014,10.0,Acinetobacter spp,fluoroquinolones
France,N_2014,395.0,Acinetobacter spp,fluoroquinolones
Austria,N_2014,75.0,Acinetobacter spp,fluoroquinolones
Czech Republic,N_2014,59.0,Acinetobacter spp,fluoroquinolones
Slovakia,N_2014,170.0,Acinetobacter spp,fluoroquinolones
Portugal,N_2014,264.0,Acinetobacter spp,fluoroquinolones
Slovenia,N_2014,34.0,Acinetobacter spp,fluoroquinolones
Spain,N_2014,79.0,Acinetobacter spp,fluoroquinolones
Hungary,N_2014,441.0,Acinetobacter spp,fluoroquinolones
Latvia,N_2014,52.0,Acinetobacter spp,fluoroquinolones
Bulgaria,N_2014,115.0,Acinetobacter spp,fluoroquinolones
Italy,N_2014,469.0,Acinetobacter spp,fluoroquinolones
Cyprus,N_2014,58.0,Acinetobacter spp,fluoroquinolones
Poland,N_2014,185.0,Acinetobacter spp,fluoroquinolones
Croatia,N_2014,164.0,Acinetobacter spp,fluoroquinolones
Lithuania,N_2014,66.0,Acinetobacter spp,fluoroquinolones
Greece,N_2014,806.0,Acinetobacter spp,fluoroquinolones
Estonia,N_2014,,Acinetobacter spp,fluoroquinolones
Iceland,N_2014,3.0,Acinetobacter spp,fluoroquinolones
Luxembourg,N_2014,6.0,Acinetobacter spp,fluoroquinolones
Belgium,%R_2014,,Acinetobacter spp,fluoroquinolones
Finland,%R_2014,6.5,Acinetobacter spp,fluoroquinolones
Sweden,%R_2014,11.5,Acinetobacter spp,fluoroquinolones
Ireland,%R_2014,4.7,Acinetobacter spp,fluoroquinolones
Denmark,%R_2014,2.9,Acinetobacter spp,fluoroquinolones
Netherlands,%R_2014,4.2,Acinetobacter spp,fluoroquinolones
United Kingdom,%R_2014,11.4,Acinetobacter spp,fluoroquinolones
Germany,%R_2014,6.0,Acinetobacter spp,fluoroquinolones
Norway,%R_2014,5.9,Acinetobacter spp,fluoroquinolones
Malta,%R_2014,30.0,Acinetobacter spp,fluoroquinolones
France,%R_2014,11.9,Acinetobacter spp,fluoroquinolones
Austria,%R_2014,5.3,Acinetobacter spp,fluoroquinolones
Czech Republic,%R_2014,15.3,Acinetobacter spp,fluoroquinolones
Slovakia,%R_2014,51.8,Acinetobacter spp,fluoroquinolones
Portugal,%R_2014,52.7,Acinetobacter spp,fluoroquinolones
Slovenia,%R_2014,41.2,Acinetobacter spp,fluoroquinolones
Spain,%R_2014,67.1,Acinetobacter spp,fluoroquinolones
Hungary,%R_2014,66.4,Acinetobacter spp,fluoroquinolones
Latvia,%R_2014,88.5,Acinetobacter spp,fluoroquinolones
Bulgaria,%R_2014,73.9,Acinetobacter spp,fluoroquinolones
Italy,%R_2014,92.1,Acinetobacter spp,fluoroquinolones
Cyprus,%R_2014,77.6,Acinetobacter spp,fluoroquinolones
Poland,%R_2014,82.7,Acinetobacter spp,fluoroquinolones
Croatia,%R_2014,92.1,Acinetobacter spp,fluoroquinolones
Lithuania,%R_2014,84.8,Acinetobacter spp,fluoroquinolones
Greece,%R_2014,95.3,Acinetobacter spp,fluoroquinolones
Estonia,%R_2014,,Acinetobacter spp,fluoroquinolones
Iceland,%R_2014,,Acinetobacter spp,fluoroquinolones
Luxembourg,%R_2014,,Acinetobacter spp,fluoroquinolones
Belgium,N_2015,26.0,Acinetobacter spp,fluoroquinolones
Finland,N_2015,43.0,Acinetobacter spp,fluoroquinolones
Sweden,N_2015,26.0,Acinetobacter spp,fluoroquinolones
Ireland,N_2015,83.0,Acinetobacter spp,fluoroquinolones
Denmark,N_2015,68.0,Acinetobacter spp,fluoroquinolones
Netherlands,N_2015,74.0,Acinetobacter spp,fluoroquinolones
United Kingdom,N_2015,139.0,Acinetobacter spp,fluoroquinolones
Germany,N_2015,336.0,Acinetobacter spp,fluoroquinolones
Norway,N_2015,32.0,Acinetobacter spp,fluoroquinolones
Malta,N_2015,15.0,Acinetobacter spp,fluoroquinolones
France,N_2015,430.0,Acinetobacter spp,fluoroquinolones
Austria,N_2015,61.0,Acinetobacter spp,fluoroquinolones
Czech Republic,N_2015,60.0,Acinetobacter spp,fluoroquinolones
Slovakia,N_2015,154.0,Acinetobacter spp,fluoroquinolones
Portugal,N_2015,308.0,Acinetobacter spp,fluoroquinolones
Slovenia,N_2015,31.0,Acinetobacter spp,fluoroquinolones
Spain,N_2015,95.0,Acinetobacter spp,fluoroquinolones
Hungary,N_2015,464.0,Acinetobacter spp,fluoroquinolones
Latvia,N_2015,60.0,Acinetobacter spp,fluoroquinolones
Bulgaria,N_2015,131.0,Acinetobacter spp,fluoroquinolones
Italy,N_2015,664.0,Acinetobacter spp,fluoroquinolones
Cyprus,N_2015,60.0,Acinetobacter spp,fluoroquinolones
Poland,N_2015,243.0,Acinetobacter spp,fluoroquinolones
Croatia,N_2015,196.0,Acinetobacter spp,fluoroquinolones
Lithuania,N_2015,73.0,Acinetobacter spp,fluoroquinolones
Greece,N_2015,946.0,Acinetobacter spp,fluoroquinolones
Estonia,N_2015,4.0,Acinetobacter spp,fluoroquinolones
Iceland,N_2015,6.0,Acinetobacter spp,fluoroquinolones
Luxembourg,N_2015,8.0,Acinetobacter spp,fluoroquinolones
Belgium,%R_2015,0.0,Acinetobacter spp,fluoroquinolones
Finland,%R_2015,2.3,Acinetobacter spp,fluoroquinolones
Sweden,%R_2015,3.8,Acinetobacter spp,fluoroquinolones
Ireland,%R_2015,4.8,Acinetobacter spp,fluoroquinolones
Denmark,%R_2015,5.9,Acinetobacter spp,fluoroquinolones
Netherlands,%R_2015,6.8,Acinetobacter spp,fluoroquinolones
United Kingdom,%R_2015,7.2,Acinetobacter spp,fluoroquinolones
Germany,%R_2015,8.6,Acinetobacter spp,fluoroquinolones
Norway,%R_2015,9.4,Acinetobacter spp,fluoroquinolones
Malta,%R_2015,13.3,Acinetobacter spp,fluoroquinolones
France,%R_2015,13.5,Acinetobacter spp,fluoroquinolones
Austria,%R_2015,16.4,Acinetobacter spp,fluoroquinolones
Czech Republic,%R_2015,18.3,Acinetobacter spp,fluoroquinolones
Slovakia,%R_2015,51.9,Acinetobacter spp,fluoroquinolones
Portugal,%R_2015,55.8,Acinetobacter spp,fluoroquinolones
Slovenia,%R_2015,58.1,Acinetobacter spp,fluoroquinolones
Spain,%R_2015,64.2,Acinetobacter spp,fluoroquinolones
Hungary,%R_2015,68.1,Acinetobacter spp,fluoroquinolones
Latvia,%R_2015,78.3,Acinetobacter spp,fluoroquinolones
Bulgaria,%R_2015,78.6,Acinetobacter spp,fluoroquinolones
Italy,%R_2015,81.6,Acinetobacter spp,fluoroquinolones
Cyprus,%R_2015,83.3,Acinetobacter spp,fluoroquinolones
Poland,%R_2015,88.1,Acinetobacter spp,fluoroquinolones
Croatia,%R_2015,92.3,Acinetobacter spp,fluoroquinolones
Lithuania,%R_2015,93.2,Acinetobacter spp,fluoroquinolones
Greece,%R_2015,94.9,Acinetobacter spp,fluoroquinolones
Estonia,%R_2015,,Acinetobacter spp,fluoroquinolones
Iceland,%R_2015,,Acinetobacter spp,fluoroquinolones
Luxembourg,%R_2015,,Acinetobacter spp,fluoroquinolones
Belgium,N_2012,,Acinetobacter spp,aminoglycosides
United Kingdom,N_2012,108.0,Acinetobacter spp,aminoglycosides
Finland,N_2012,,Acinetobacter spp,aminoglycosides
Ireland,N_2012,,Acinetobacter spp,aminoglycosides
Sweden,N_2012,,Acinetobacter spp,aminoglycosides
Denmark,N_2012,77.0,Acinetobacter spp,aminoglycosides
Germany,N_2012,119.0,Acinetobacter spp,aminoglycosides
Austria,N_2012,,Acinetobacter spp,aminoglycosides
Norway,N_2012,25.0,Acinetobacter spp,aminoglycosides
Netherlands,N_2012,59.0,Acinetobacter spp,aminoglycosides
France,N_2012,278.0,Acinetobacter spp,aminoglycosides
Malta,N_2012,5.0,Acinetobacter spp,aminoglycosides
Czech Republic,N_2012,,Acinetobacter spp,aminoglycosides
Slovenia,N_2012,25.0,Acinetobacter spp,aminoglycosides
Slovakia,N_2012,,Acinetobacter spp,aminoglycosides
Portugal,N_2012,169.0,Acinetobacter spp,aminoglycosides
Spain,N_2012,,Acinetobacter spp,aminoglycosides
Latvia,N_2012,,Acinetobacter spp,aminoglycosides
Hungary,N_2012,407.0,Acinetobacter spp,aminoglycosides
Poland,N_2012,211.0,Acinetobacter spp,aminoglycosides
Bulgaria,N_2012,65.0,Acinetobacter spp,aminoglycosides
Cyprus,N_2012,23.0,Acinetobacter spp,aminoglycosides
Italy,N_2012,234.0,Acinetobacter spp,aminoglycosides
Greece,N_2012,1234.0,Acinetobacter spp,aminoglycosides
Croatia,N_2012,,Acinetobacter spp,aminoglycosides
Lithuania,N_2012,,Acinetobacter spp,aminoglycosides
Estonia,N_2012,,Acinetobacter spp,aminoglycosides
Iceland,N_2012,2.0,Acinetobacter spp,aminoglycosides
Luxembourg,N_2012,6.0,Acinetobacter spp,aminoglycosides
Belgium,%R_2012,,Acinetobacter spp,aminoglycosides
United Kingdom,%R_2012,2.8,Acinetobacter spp,aminoglycosides
Finland,%R_2012,,Acinetobacter spp,aminoglycosides
Ireland,%R_2012,,Acinetobacter spp,aminoglycosides
Sweden,%R_2012,,Acinetobacter spp,aminoglycosides
Denmark,%R_2012,10.4,Acinetobacter spp,aminoglycosides
Germany,%R_2012,5.9,Acinetobacter spp,aminoglycosides
Austria,%R_2012,,Acinetobacter spp,aminoglycosides
Norway,%R_2012,4.0,Acinetobacter spp,aminoglycosides
Netherlands,%R_2012,1.7,Acinetobacter spp,aminoglycosides
France,%R_2012,12.9,Acinetobacter spp,aminoglycosides
Malta,%R_2012,,Acinetobacter spp,aminoglycosides
Czech Republic,%R_2012,,Acinetobacter spp,aminoglycosides
Slovenia,%R_2012,20.0,Acinetobacter spp,aminoglycosides
Slovakia,%R_2012,,Acinetobacter spp,aminoglycosides
Portugal,%R_2012,65.1,Acinetobacter spp,aminoglycosides
Spain,%R_2012,,Acinetobacter spp,aminoglycosides
Latvia,%R_2012,,Acinetobacter spp,aminoglycosides
Hungary,%R_2012,68.8,Acinetobacter spp,aminoglycosides
Poland,%R_2012,70.1,Acinetobacter spp,aminoglycosides
Bulgaria,%R_2012,58.5,Acinetobacter spp,aminoglycosides
Cyprus,%R_2012,52.2,Acinetobacter spp,aminoglycosides
Italy,%R_2012,83.3,Acinetobacter spp,aminoglycosides
Greece,%R_2012,78.1,Acinetobacter spp,aminoglycosides
Croatia,%R_2012,,Acinetobacter spp,aminoglycosides
Lithuania,%R_2012,,Acinetobacter spp,aminoglycosides
Estonia,%R_2012,,Acinetobacter spp,aminoglycosides
Iceland,%R_2012,,Acinetobacter spp,aminoglycosides
Luxembourg,%R_2012,,Acinetobacter spp,aminoglycosides
Belgium,N_2013,1.0,Acinetobacter spp,aminoglycosides
United Kingdom,N_2013,163.0,Acinetobacter spp,aminoglycosides
Finland,N_2013,36.0,Acinetobacter spp,aminoglycosides
Ireland,N_2013,88.0,Acinetobacter spp,aminoglycosides
Sweden,N_2013,74.0,Acinetobacter spp,aminoglycosides
Denmark,N_2013,75.0,Acinetobacter spp,aminoglycosides
Germany,N_2013,180.0,Acinetobacter spp,aminoglycosides
Austria,N_2013,51.0,Acinetobacter spp,aminoglycosides
Norway,N_2013,36.0,Acinetobacter spp,aminoglycosides
Netherlands,N_2013,67.0,Acinetobacter spp,aminoglycosides
France,N_2013,409.0,Acinetobacter spp,aminoglycosides
Malta,N_2013,7.0,Acinetobacter spp,aminoglycosides
Czech Republic,N_2013,91.0,Acinetobacter spp,aminoglycosides
Slovenia,N_2013,25.0,Acinetobacter spp,aminoglycosides
Slovakia,N_2013,187.0,Acinetobacter spp,aminoglycosides
Portugal,N_2013,231.0,Acinetobacter spp,aminoglycosides
Spain,N_2013,77.0,Acinetobacter spp,aminoglycosides
Latvia,N_2013,,Acinetobacter spp,aminoglycosides
Hungary,N_2013,473.0,Acinetobacter spp,aminoglycosides
Poland,N_2013,191.0,Acinetobacter spp,aminoglycosides
Bulgaria,N_2013,91.0,Acinetobacter spp,aminoglycosides
Cyprus,N_2013,33.0,Acinetobacter spp,aminoglycosides
Italy,N_2013,456.0,Acinetobacter spp,aminoglycosides
Greece,N_2013,813.0,Acinetobacter spp,aminoglycosides
Croatia,N_2013,113.0,Acinetobacter spp,aminoglycosides
Lithuania,N_2013,,Acinetobacter spp,aminoglycosides
Estonia,N_2013,,Acinetobacter spp,aminoglycosides
Iceland,N_2013,,Acinetobacter spp,aminoglycosides
Luxembourg,N_2013,3.0,Acinetobacter spp,aminoglycosides
Belgium,%R_2013,,Acinetobacter spp,aminoglycosides
United Kingdom,%R_2013,2.5,Acinetobacter spp,aminoglycosides
Finland,%R_2013,0.0,Acinetobacter spp,aminoglycosides
Ireland,%R_2013,1.1,Acinetobacter spp,aminoglycosides
Sweden,%R_2013,8.1,Acinetobacter spp,aminoglycosides
Denmark,%R_2013,1.3,Acinetobacter spp,aminoglycosides
Germany,%R_2013,6.1,Acinetobacter spp,aminoglycosides
Austria,%R_2013,9.8,Acinetobacter spp,aminoglycosides
Norway,%R_2013,2.8,Acinetobacter spp,aminoglycosides
Netherlands,%R_2013,4.5,Acinetobacter spp,aminoglycosides
France,%R_2013,11.2,Acinetobacter spp,aminoglycosides
Malta,%R_2013,,Acinetobacter spp,aminoglycosides
Czech Republic,%R_2013,15.4,Acinetobacter spp,aminoglycosides
Slovenia,%R_2013,16.0,Acinetobacter spp,aminoglycosides
Slovakia,%R_2013,42.8,Acinetobacter spp,aminoglycosides
Portugal,%R_2013,56.3,Acinetobacter spp,aminoglycosides
Spain,%R_2013,68.8,Acinetobacter spp,aminoglycosides
Latvia,%R_2013,,Acinetobacter spp,aminoglycosides
Hungary,%R_2013,63.2,Acinetobacter spp,aminoglycosides
Poland,%R_2013,73.3,Acinetobacter spp,aminoglycosides
Bulgaria,%R_2013,58.2,Acinetobacter spp,aminoglycosides
Cyprus,%R_2013,60.6,Acinetobacter spp,aminoglycosides
Italy,%R_2013,81.8,Acinetobacter spp,aminoglycosides
Greece,%R_2013,82.0,Acinetobacter spp,aminoglycosides
Croatia,%R_2013,84.1,Acinetobacter spp,aminoglycosides
Lithuania,%R_2013,,Acinetobacter spp,aminoglycosides
Estonia,%R_2013,,Acinetobacter spp,aminoglycosides
Iceland,%R_2013,,Acinetobacter spp,aminoglycosides
Luxembourg,%R_2013,,Acinetobacter spp,aminoglycosides
Belgium,N_2014,2.0,Acinetobacter spp,aminoglycosides
United Kingdom,N_2014,129.0,Acinetobacter spp,aminoglycosides
Finland,N_2014,31.0,Acinetobacter spp,aminoglycosides
Ireland,N_2014,89.0,Acinetobacter spp,aminoglycosides
Sweden,N_2014,36.0,Acinetobacter spp,aminoglycosides
Denmark,N_2014,60.0,Acinetobacter spp,aminoglycosides
Germany,N_2014,197.0,Acinetobacter spp,aminoglycosides
Austria,N_2014,79.0,Acinetobacter spp,aminoglycosides
Norway,N_2014,33.0,Acinetobacter spp,aminoglycosides
Netherlands,N_2014,73.0,Acinetobacter spp,aminoglycosides
France,N_2014,409.0,Acinetobacter spp,aminoglycosides
Malta,N_2014,10.0,Acinetobacter spp,aminoglycosides
Czech Republic,N_2014,59.0,Acinetobacter spp,aminoglycosides
Slovenia,N_2014,34.0,Acinetobacter spp,aminoglycosides
Slovakia,N_2014,170.0,Acinetobacter spp,aminoglycosides
Portugal,N_2014,265.0,Acinetobacter spp,aminoglycosides
Spain,N_2014,80.0,Acinetobacter spp,aminoglycosides
Latvia,N_2014,52.0,Acinetobacter spp,aminoglycosides
Hungary,N_2014,444.0,Acinetobacter spp,aminoglycosides
Poland,N_2014,188.0,Acinetobacter spp,aminoglycosides
Bulgaria,N_2014,87.0,Acinetobacter spp,aminoglycosides
Cyprus,N_2014,57.0,Acinetobacter spp,aminoglycosides
Italy,N_2014,444.0,Acinetobacter spp,aminoglycosides
Greece,N_2014,800.0,Acinetobacter spp,aminoglycosides
Croatia,N_2014,166.0,Acinetobacter spp,aminoglycosides
Lithuania,N_2014,65.0,Acinetobacter spp,aminoglycosides
Estonia,N_2014,,Acinetobacter spp,aminoglycosides
Iceland,N_2014,3.0,Acinetobacter spp,aminoglycosides
Luxembourg,N_2014,6.0,Acinetobacter spp,aminoglycosides
Belgium,%R_2014,,Acinetobacter spp,aminoglycosides
United Kingdom,%R_2014,10.1,Acinetobacter spp,aminoglycosides
Finland,%R_2014,3.2,Acinetobacter spp,aminoglycosides
Ireland,%R_2014,2.2,Acinetobacter spp,aminoglycosides
Sweden,%R_2014,2.8,Acinetobacter spp,aminoglycosides
Denmark,%R_2014,1.7,Acinetobacter spp,aminoglycosides
Germany,%R_2014,4.1,Acinetobacter spp,aminoglycosides
Austria,%R_2014,8.9,Acinetobacter spp,aminoglycosides
Norway,%R_2014,3.0,Acinetobacter spp,aminoglycosides
Netherlands,%R_2014,5.5,Acinetobacter spp,aminoglycosides
France,%R_2014,8.3,Acinetobacter spp,aminoglycosides
Malta,%R_2014,30.0,Acinetobacter spp,aminoglycosides
Czech Republic,%R_2014,10.2,Acinetobacter spp,aminoglycosides
Slovenia,%R_2014,32.4,Acinetobacter spp,aminoglycosides
Slovakia,%R_2014,40.6,Acinetobacter spp,aminoglycosides
Portugal,%R_2014,42.3,Acinetobacter spp,aminoglycosides
Spain,%R_2014,58.8,Acinetobacter spp,aminoglycosides
Latvia,%R_2014,69.2,Acinetobacter spp,aminoglycosides
Hungary,%R_2014,59.5,Acinetobacter spp,aminoglycosides
Poland,%R_2014,58.5,Acinetobacter spp,aminoglycosides
Bulgaria,%R_2014,60.9,Acinetobacter spp,aminoglycosides
Cyprus,%R_2014,73.7,Acinetobacter spp,aminoglycosides
Italy,%R_2014,88.3,Acinetobacter spp,aminoglycosides
Greece,%R_2014,83.9,Acinetobacter spp,aminoglycosides
Croatia,%R_2014,82.5,Acinetobacter spp,aminoglycosides
Lithuania,%R_2014,80.0,Acinetobacter spp,aminoglycosides
Estonia,%R_2014,,Acinetobacter spp,aminoglycosides
Iceland,%R_2014,,Acinetobacter spp,aminoglycosides
Luxembourg,%R_2014,,Acinetobacter spp,aminoglycosides
Belgium,N_2015,15.0,Acinetobacter spp,aminoglycosides
United Kingdom,N_2015,153.0,Acinetobacter spp,aminoglycosides
Finland,N_2015,42.0,Acinetobacter spp,aminoglycosides
Ireland,N_2015,80.0,Acinetobacter spp,aminoglycosides
Sweden,N_2015,26.0,Acinetobacter spp,aminoglycosides
Denmark,N_2015,63.0,Acinetobacter spp,aminoglycosides
Germany,N_2015,328.0,Acinetobacter spp,aminoglycosides
Austria,N_2015,63.0,Acinetobacter spp,aminoglycosides
Norway,N_2015,32.0,Acinetobacter spp,aminoglycosides
Netherlands,N_2015,74.0,Acinetobacter spp,aminoglycosides
France,N_2015,431.0,Acinetobacter spp,aminoglycosides
Malta,N_2015,15.0,Acinetobacter spp,aminoglycosides
Czech Republic,N_2015,60.0,Acinetobacter spp,aminoglycosides
Slovenia,N_2015,31.0,Acinetobacter spp,aminoglycosides
Slovakia,N_2015,154.0,Acinetobacter spp,aminoglycosides
Portugal,N_2015,310.0,Acinetobacter spp,aminoglycosides
Spain,N_2015,96.0,Acinetobacter spp,aminoglycosides
Latvia,N_2015,61.0,Acinetobacter spp,aminoglycosides
Hungary,N_2015,465.0,Acinetobacter spp,aminoglycosides
Poland,N_2015,245.0,Acinetobacter spp,aminoglycosides
Bulgaria,N_2015,116.0,Acinetobacter spp,aminoglycosides
Cyprus,N_2015,59.0,Acinetobacter spp,aminoglycosides
Italy,N_2015,656.0,Acinetobacter spp,aminoglycosides
Greece,N_2015,945.0,Acinetobacter spp,aminoglycosides
