Country,Value,Metric,Year,Organism,Drug
Latvia,,%R,2013,Acinetobacter spp,fluoroquinolones
Bulgaria,70.2,%R,2013,Acinetobacter spp,fluoroquinolones
Italy,83.1,%R,2013,Acinetobacter spp,fluoroquinolones
Cyprus,60.6,%R,2013,Acinetobacter spp,fluoroquinolones
Poland,81.4,%R,2013,Acinetobacter spp,fluoroquinolones
Croatia,92.9,%R,2013,Acinetobacter spp,fluoroquinolones
Lithuania,,%R,2013,Acinetobacter spp,fluoroquinolones
Greece,95.0,%R,2013,Acinetobacter spp,fluoroquinolones
Estonia,,%R,2013,Acinetobacter spp,fluoroquinolones
Iceland,,%R,2013,Acinetobacter spp,fluoroquinolones
Luxembourg,,%R,2013,Acinetobacter spp,fluoroquinolones
Belgium,4.0,N,2014,Acinetobacter spp,fluoroquinolones
Finland,31.0,N,2014,Acinetobacter spp,fluoroquinolones
Sweden,52.0,N,2014,Acinetobacter spp,fluoroquinolones
Ireland,86.0,N,2014,Acinetobacter spp,fluoroquinolones
Denmark,69.0,N,2014,Acinetobacter spp,fluoroquinolones
Netherlands,72.0,N,2014,Acinetobacter spp,fluoroquinolones
United Kingdom,123.0,N,2014,Acinetobacter spp,fluoroquinolones
Germany,199.0,N,2014,Acinetobacter spp,fluoroquinolones
Norway,34.0,N,2014,Acinetobacter spp,fluoroquinolones
Malta,10.0,N,2014,Acinetobacter spp,fluoroquinolones
France,395.0,N,2014,Acinetobacter spp,fluoroquinolones
Austria,75.0,N,2014,Acinetobacter spp,fluoroquinolones
Czech Republic,59.0,N,2014,Acinetobacter spp,fluoroquinolones
Slovakia,170.0,N,2014,Acinetobacter spp,fluoroquinolones
Portugal,264.0,N,2014,Acinetobacter spp,fluoroquinolones
Slovenia,34.0,N,2014,Acinetobacter spp,fluoroquinolones
Spain,79.0,N,2014,Acinetobacter spp,fluoroquinolones
Hungary,441.0,N,2014,Acinetobacter spp,fluoroquinolones
Latvia,52.0,N,2014,Acinetobacter spp,fluoroquinolones
Bulgaria,115.0,N,2014,Acinetobacter spp,fluoroquinolones
Italy,469.0,N,2014,Acinetobacter spp,fluoroquinolones
Cyprus,58.0,N,2014,Acinetobacter spp,fluoroquinolones
Poland,185.0,N,2014,Acinetobacter spp,fluoroquinolones
Croatia,164.0,N,2014,Acinetobacter spp,fluoroquinolones
Lithuania,66.0,N,2014,Acinetobacter spp,fluoroquinolones
Greece,806.0,N,2014,Acinetobacter spp,fluoroquinolones
Estonia,,N,2014,Acinetobacter spp,fluoroquinolones
Iceland,3.0,N,2014,Acinetobacter spp,fluoroquinolones
Luxembourg,6.0,N,2014,Acinetobacter spp,fluoroquinolones
Belgium,,%R,2014,Acinetobacter spp,fluoroquinolones
Finland,6.5,%R,2014,Acinetobacter spp,fluoroquinolones
Sweden,11.5,%R,2014,Acinetobacter spp,fluoroquinolones
Ireland,4.7,%R,2014,Acinetobacter spp,fluoroquinolones
Denmark,2.9,%R,2014,Acinetobacter spp,fluoroquinolones
Netherlands,4.2,%R,2014,Acinetobacter spp,fluoroquinolones
United Kingdom,11.4,%R,2014,Acinetobacter spp,fluoroquinolones
Germany,6.0,%R,2014,Acinetobacter spp,fluoroquinolones
Norway,5.9,%R,2014,Acinetobacter spp,fluoroquinolones
Malta,30.0,%R,2014,Acinetobacter spp,fluoroquinolones
France,11.9,%R,2014,Acinetobacter spp,fluoroquinolones
Austria,5.3,%R,2014,Acinetobacter spp,fluoroquinolones
Czech Republic,15.3,%R,2014,Acinetobacter spp,fluoroquinolones
Slovakia,51.8,%R,2014,Acinetobacter spp,fluoroquinolones
Portugal,52.7,%R,2014,Acinetobacter spp,fluoroquinolones
Slovenia,41.2,%R,2014,Acinetobacter spp,fluoroquinolones
Spain,67.1,%R,2014,Acinetobacter spp,fluoroquinolones
Hungary,66.4,%R,2014,Acinetobacter spp,fluoroquinolones
Latvia,88.5,%R,2014,Acinetobacter spp,fluoroquinolones
Bulgaria,73.9,%R,2014,Acinetobacter spp,fluoroquinolones
Italy,92.1,%R,2014,Acinetobacter spp,fluoroquinolones
Cyprus,77.6,%R,2014,Acinetobacter spp,fluoroquinolones
Poland,82.7,%R,2014,Acinetobacter spp,fluoroquinolones
Croatia,92.1,%R,2014,Acinetobacter spp,fluoroquinolones
Lithuania,84.8,%R,2014,Acinetobacter spp,fluoroquinolones
Greece,95.3,%R,2014,Acinetobacter spp,fluoroquinolones
Estonia,,%R,2014,Acinetobacter spp,fluoroquinolones
Iceland,,%R,2014,Acinetobacter spp,fluoroquinolones
Luxembourg,,%R,2014,Acinetobacter spp,fluoroquinolones
Belgium,26.0,N,2015,Acinetobacter spp,fluoroquinolones
Finland,43.0,N,2015,Acinetobacter spp,fluoroquinolones
Sweden,26.0,N,2015,Acinetobacter spp,fluoroquinolones
Ireland,83.0,N,2015,Acinetobacter spp,fluoroquinolones
Denmark,68.0,N,2015,Acinetobacter spp,fluoroquinolones
Netherlands,74.0,N,2015,Acinetobacter spp,fluoroquinolones
United Kingdom,139.0,N,2015,Acinetobacter spp,fluoroquinolones
Germany,336.0,N,2015,Acinetobacter spp,fluoroquinolones
Norway,32.0,N,2015,Acinetobacter spp,fluoroquinolones
Malta,15.0,N,2015,Acinetobacter spp,fluoroquinolones
France,430.0,N,2015,Acinetobacter spp,fluoroquinolones
Austria,61.0,N,2015,Acinetobacter spp,fluoroquinolones
Czech Republic,60.0,N,2015,Acinetobacter spp,fluoroquinolones
Slovakia,154.0,N,2015,Acinetobacter spp,fluoroquinolones
Portugal,308.0,N,2015,Acinetobacter spp,fluoroquinolones
Slovenia,31.0,N,2015,Acinetobacter spp,fluoroquinolones
Spain,95.0,N,2015,Acinetobacter spp,fluoroquinolones
Hungary,464.0,N,2015,Acinetobacter spp,fluoroquinolones
Latvia,60.0,N,2015,Acinetobacter spp,fluoroquinolones
Bulgaria,131.0,N,2015,Acinetobacter spp,fluoroquinolones
Italy,664.0,N,2015,Acinetobacter spp,fluoroquinolones
Cyprus,60.0,N,2015,Acinetobacter spp,fluoroquinolones
Poland,243.0,N,2015,Acinetobacter spp,fluoroquinolones
Croatia,196.0,N,2015,Acinetobacter spp,fluoroquinolones
Lithuania,73.0,N,2015,Acinetobacter spp,fluoroquinolones
Greece,946.0,N,2015,Acinetobacter spp,fluoroquinolones
Estonia,4.0,N,2015,Acinetobacter spp,fluoroquinolones
Iceland,6.0,N,2015,Acinetobacter spp,fluoroquinolones
Luxembourg,8.0,N,2015,Acinetobacter spp,fluoroquinolones
Belgium,0.0,%R,2015,Acinetobacter spp,fluoroquinolones
Finland,2.3,%R,2015,Acinetobacter spp,fluoroquinolones
Sweden,3.8,%R,2015,Acinetobacter spp,fluoroquinolones
Ireland,4.8,%R,2015,Acinetobacter spp,fluoroquinolones
Denmark,5.9,%R,2015,Acinetobacter spp,fluoroquinolones
Netherlands,6.8,%R,2015,Acinetobacter spp,fluoroquinolones
United Kingdom,7.2,%R,2015,Acinetobacter spp,fluoroquinolones
Germany,8.6,%R,2015,Acinetobacter spp,fluoroquinolones
Norway,9.4,%R,2015,Acinetobacter spp,fluoroquinolones
Malta,13.3,%R,2015,Acinetobacter spp,fluoroquinolones
France,13.5,%R,2015,Acinetobacter spp,fluoroquinolones
Austria,16.4,%R,2015,Acinetobacter spp,fluoroquinolones
Czech Republic,18.3,%R,2015,Acinetobacter spp,fluoroquinolones
Slovakia,51.9,%R,2015,Acinetobacter spp,fluoroquinolones
Portugal,55.8,%R,2015,Acinetobacter spp,fluoroquinolones
Slovenia,58.1,%R,2015,Acinetobacter spp,fluoroquinolones
Spain,64.2,%R,2015,Acinetobacter spp,fluoroquinolones
Hungary,68.1,%R,2015,Acinetobacter spp,fluoroquinolones
Latvia,78.3,%R,2015,Acinetobacter spp,fluoroquinolones
Bulgaria,78.6,%R,2015,Acinetobacter spp,fluoroquinolones
Italy,81.6,%R,2015,Acinetobacter spp,fluoroquinolones
Cyprus,83.3,%R,2015,Acinetobacter spp,fluoroquinolones
Poland,88.1,%R,2015,Acinetobacter spp,fluoroquinolones
Croatia,92.3,%R,2015,Acinetobacter spp,fluoroquinolones
Lithuania,93.2,%R,2015,Acinetobacter spp,fluoroquinolones
Greece,94.9,%R,2015,Acinetobacter spp,fluoroquinolones
Estonia,,%R,2015,Acinetobacter spp,fluoroquinolones
Iceland,,%R,2015,Acinetobacter spp,fluoroquinolones
Luxembourg,,%R,2015,Acinetobacter spp,fluoroquinolones
Belgium,,N,2012,Acinetobacter spp,aminoglycosides
United Kingdom,108.0,N,2012,Acinetobacter spp,aminoglycosides
Finland,,N,2012,Acinetobacter spp,aminoglycosides
Ireland,,N,2012,Acinetobacter spp,aminoglycosides
Sweden,,N,2012,Acinetobacter spp,aminoglycosides
Denmark,77.0,N,2012,Acinetobacter spp,aminoglycosides
Germany,119.0,N,2012,Acinetobacter spp,aminoglycosides
Austria,,N,2012,Acinetobacter spp,aminoglycosides
Norway,25.0,N,2012,Acinetobacter spp,aminoglycosides
Netherlands,59.0,N,2012,Acinetobacter spp,aminoglycosides
France,278.0,N,2012,Acinetobacter spp,aminoglycosides
Malta,5.0,N,2012,Acinetobacter spp,aminoglycosides
Czech Republic,,N,2012,Acinetobacter spp,aminoglycosides
Slovenia,25.0,N,2012,Acinetobacter spp,aminoglycosides
Slovakia,,N,2012,Acinetobacter spp,aminoglycosides
Portugal,169.0,N,2012,Acinetobacter spp,aminoglycosides
Spain,,N,2012,Acinetobacter spp,aminoglycosides
Latvia,,N,2012,Acinetobacter spp,aminoglycosides
Hungary,407.0,N,2012,Acinetobacter spp,aminoglycosides
Poland,211.0,N,2012,Acinetobacter spp,aminoglycosides
Bulgaria,65.0,N,2012,Acinetobacter spp,aminoglycosides
Cyprus,23.0,N,2012,Acinetobacter spp,aminoglycosides
Italy,234.0,N,2012,Acinetobacter spp,aminoglycosides
Greece,1234.0,N,2012,Acinetobacter spp,aminoglycosides
Croatia,,N,2012,Acinetobacter spp,aminoglycosides
Lithuania,,N,2012,Acinetobacter spp,aminoglycosides
Estonia,,N,2012,Acinetobacter spp,aminoglycosides
Iceland,2.0,N,2012,Acinetobacter spp,aminoglycosides
Luxembourg,6.0,N,2012,Acinetobacter spp,aminoglycosides
Belgium,,%R,2012,Acinetobacter spp,aminoglycosides
United Kingdom,2.8,%R,2012,Acinetobacter spp,aminoglycosides
Finland,,%R,2012,Acinetobacter spp,aminoglycosides
Ireland,,%R,2012,Acinetobacter spp,aminoglycosides
Sweden,,%R,2012,Acinetobacter spp,aminoglycosides
Denmark,10.4,%R,2012,Acinetobacter spp,aminoglycosides
Germany,5.9,%R,2012,Acinetobacter spp,aminoglycosides
Austria,,%R,2012,Acinetobacter spp,aminoglycosides
Norway,4.0,%R,2012,Acinetobacter spp,aminoglycosides
Netherlands,1.7,%R,2012,Acinetobacter spp,aminoglycosides
France,12.9,%R,2012,Acinetobacter spp,aminoglycosides
Malta,,%R,2012,Acinetobacter spp,aminoglycosides
Czech Republic,,%R,2012,Acinetobacter spp,aminoglycosides
Slovenia,20.0,%R,2012,Acinetobacter spp,aminoglycosides
Slovakia,,%R,2012,Acinetobacter spp,aminoglycosides
Portugal,65.1,%R,2012,Acinetobacter spp,aminoglycosides
Spain,,%R,2012,Acinetobacter spp,aminoglycosides
Latvia,,%R,2012,Acinetobacter spp,aminoglycosides
Hungary,68.8,%R,2012,Acinetobacter spp,aminoglycosides
Poland,70.1,%R,2012,Acinetobacter spp,aminoglycosides
Bulgaria,58.5,%R,2012,Acinetobacter spp,aminoglycosides
Cyprus,52.2,%R,2012,Acinetobacter spp,aminoglycosides
Italy,83.3,%R,2012,Acinetobacter spp,aminoglycosides
Greece,78.1,%R,2012,Acinetobacter spp,aminoglycosides
Croatia,,%R,2012,Acinetobacter spp,aminoglycosides
Lithuania,,%R,2012,Acinetobacter spp,aminoglycosides
Estonia,,%R,2012,Acinetobacter spp,aminoglycosides
Iceland,,%R,2012,Acinetobacter spp,aminoglycosides
Luxembourg,,%R,2012,Acinetobacter spp,aminoglycosides
Belgium,1.0,N,2013,Acinetobacter spp,aminoglycosides
United Kingdom,163.0,N,2013,Acinetobacter spp,aminoglycosides
Finland,36.0,N,2013,Acinetobacter spp,aminoglycosides
Ireland,88.0,N,2013,Acinetobacter spp,aminoglycosides
Sweden,74.0,N,2013,Acinetobacter spp,aminoglycosides
Denmark,75.0,N,2013,Acinetobacter spp,aminoglycosides
Germany,180.0,N,2013,Acinetobacter spp,aminoglycosides
Austria,51.0,N,2013,Acinetobacter spp,aminoglycosides
Norway,36.0,N,2013,Acinetobacter spp,aminoglycosides
Netherlands,67.0,N,2013,Acinetobacter spp,aminoglycosides
France,409.0,N,2013,Acinetobacter spp,aminoglycosides
Malta,7.0,N,2013,Acinetobacter spp,aminoglycosides
Czech Republic,91.0,N,2013,Acinetobacter spp,aminoglycosides
Slovenia,25.0,N,2013,Acinetobacter spp,aminoglycosides
Slovakia,187.0,N,2013,Acinetobacter spp,aminoglycosides
Portugal,231.0,N,2013,Acinetobacter spp,aminoglycosides
Spain,77.0,N,2013,Acinetobacter spp,aminoglycosides
Latvia,,N,2013,Acinetobacter spp,aminoglycosides
Hungary,473.0,N,2013,Acinetobacter spp,aminoglycosides
Poland,191.0,N,2013,Acinetobacter spp,aminoglycosides
Bulgaria,91.0,N,2013,Acinetobacter spp,aminoglycosides
Cyprus,33.0,N,2013,Acinetobacter spp,aminoglycosides
Italy,456.0,N,2013,Acinetobacter spp,aminoglycosides
Greece,813.0,N,2013,Acinetobacter spp,aminoglycosides
Croatia,113.0,N,2013,Acinetobacter spp,aminoglycosides
Lithuania,,N,2013,Acinetobacter spp,aminoglycosides
Estonia,,N,2013,Acinetobacter spp,aminoglycosides
Iceland,,N,2013,Acinetobacter spp,aminoglycosides
Luxembourg,3.0,N,2013,Acinetobacter spp,aminoglycosides
Belgium,,%R,2013,Acinetobacter spp,aminoglycosides
United Kingdom,2.5,%R,2013,Acinetobacter spp,aminoglycosides
Finland,0.0,%R,2013,Acinetobacter spp,aminoglycosides
Ireland,1.1,%R,2013,Acinetobacter spp,aminoglycosides
Sweden,8.1,%R,2013,Acinetobacter spp,aminoglycosides
Denmark,1.3,%R,2013,Acinetobacter spp,aminoglycosides
Germany,6.1,%R,2013,Acinetobacter spp,aminoglycosides
Austria,9.8,%R,2013,Acinetobacter spp,aminoglycosides
Norway,2.8,%R,2013,Acinetobacter spp,aminoglycosides
Netherlands,4.5,%R,2013,Acinetobacter spp,aminoglycosides
France,11.2,%R,2013,Acinetobacter spp,aminoglycosides
Malta,,%R,2013,Acinetobacter spp,aminoglycosides
Czech Republic,15.4,%R,2013,Acinetobacter spp,aminoglycosides
Slovenia,16.0,%R,2013,Acinetobacter spp,aminoglycosides
Slovakia,42.8,%R,2013,Acinetobacter spp,aminoglycosides
Portugal,56.3,%R,2013,Acinetobacter spp,aminoglycosides
Spain,68.8,%R,2013,Acinetobacter spp,aminoglycosides
Latvia,,%R,2013,Acinetobacter spp,aminoglycosides
Hungary,63.2,%R,2013,Acinetobacter spp,aminoglycosides
Poland,73.3,%R,2013,Acinetobacter spp,aminoglycosides
Bulgaria,58.2,%R,2013,Acinetobacter spp,aminoglycosides
Cyprus,60.6,%R,2013,Acinetobacter spp,aminoglycosides
Italy,81.8,%R,2013,Acinetobacter spp,aminoglycosides
Greece,82.0,%R,2013,Acinetobacter spp,aminoglycosides
Croatia,84.1,%R,2013,Acinetobacter spp,aminoglycosides
Lithuania,,%R,2013,Acinetobacter spp,aminoglycosides
Estonia,,%R,2013,Acinetobacter spp,aminoglycosides
Iceland,,%R,2013,Acinetobacter spp,aminoglycosides
Luxembourg,,%R,2013,Acinetobacter spp,aminoglycosides
Belgium,2.0,N,2014,Acinetobacter spp,aminoglycosides
United Kingdom,129.0,N,2014,Acinetobacter spp,aminoglycosides
Finland,31.0,N,2014,Acinetobacter spp,aminoglycosides
Ireland,89.0,N,2014,Acinetobacter spp,aminoglycosides
Sweden,36.0,N,2014,Acinetobacter spp,aminoglycosides
Denmark,60.0,N,2014,Acinetobacter spp,aminoglycosides
Germany,197.0,N,2014,Acinetobacter spp,aminoglycosides
Austria,79.0,N,2014,Acinetobacter spp,aminoglycosides
Norway,33.0,N,2014,Acinetobacter spp,aminoglycosides
Netherlands,73.0,N,2014,Acinetobacter spp,aminoglycosides
France,409.0,N,2014,Acinetobacter spp,aminoglycosides
Malta,10.0,N,2014,Acinetobacter spp,aminoglycosides
Czech Republic,59.0,N,2014,Acinetobacter spp,aminoglycosides
Slovenia,34.0,N,2014,Acinetobacter spp,aminoglycosides
Slovakia,170.0,N,2014,Acinetobacter spp,aminoglycosides
Portugal,265.0,N,2014,Acinetobacter spp,aminoglycosides
Spain,80.0,N,2014,Acinetobacter spp,aminoglycosides
Latvia,52.0,N,2014,Acinetobacter spp,aminoglycosides
Hungary,444.0,N,2014,Acinetobacter spp,aminoglycosides
Poland,188.0,N,2014,Acinetobacter spp,aminoglycosides
Bulgaria,87.0,N,2014,Acinetobacter spp,aminoglycosides
Cyprus,57.0,N,2014,Acinetobacter spp,aminoglycosides
Italy,444.0,N,2014,Acinetobacter spp,aminoglycosides
Greece,800.0,N,2014,Acinetobacter spp,aminoglycosides
Croatia,166.0,N,2014,Acinetobacter spp,aminoglycosides
Lithuania,65.0,N,2014,Acinetobacter spp,aminoglycosides
Estonia,,N,2014,Acinetobacter spp,aminoglycosides
Iceland,3.0,N,2014,Acinetobacter spp,aminoglycosides
Luxembourg,6.0,N,2014,Acinetobacter spp,aminoglycosides
Belgium,,%R,2014,Acinetobacter spp,aminoglycosides
United Kingdom,10.1,%R,2014,Acinetobacter spp,aminoglycosides
Finland,3.2,%R,2014,Acinetobacter spp,aminoglycosides
Ireland,2.2,%R,2014,Acinetobacter spp,aminoglycosides
Sweden,2.8,%R,2014,Acinetobacter spp,aminoglycosides
Denmark,1.7,%R,2014,Acinetobacter spp,aminoglycosides
Germany,4.1,%R,2014,Acinetobacter spp,aminoglycosides
Austria,8.9,%R,2014,Acinetobacter spp,aminoglycosides
Norway,3.0,%R,2014,Acinetobacter spp,aminoglycosides
Netherlands,5.5,%R,2014,Acinetobacter spp,aminoglycosides
France,8.3,%R,2014,Acinetobacter spp,aminoglycosides
Malta,30.0,%R,2014,Acinetobacter spp,aminoglycosides
Czech Republic,10.2,%R,2014,Acinetobacter spp,aminoglycosides
Slovenia,32.4,%R,2014,Acinetobacter spp,aminoglycosides
Slovakia,40.6,%R,2014,Acinetobacter spp,aminoglycosides
Portugal,42.3,%R,2014,Acinetobacter spp,aminoglycosides
Spain,58.8,%R,2014,Acinetobacter spp,aminoglycosides
Latvia,69.2,%R,2014,Acinetobacter spp,aminoglycosides
Hungary,59.5,%R,2014,Acinetobacter spp,aminoglycosides
Poland,58.5,%R,2014,Acinetobacter spp,aminoglycosides
Bulgaria,60.9,%R,2014,Acinetobacter spp,aminoglycosides
Cyprus,73.7,%R,2014,Acinetobacter spp,aminoglycosides
Italy,88.3,%R,2014,Acinetobacter spp,aminoglycosides
Greece,83.9,%R,2014,Acinetobacter spp,aminoglycosides
Croatia,82.5,%R,2014,Acinetobacter spp,aminoglycosides
Lithuania,80.0,%R,2014,Acinetobacter spp,aminoglycosides
Estonia,,%R,2014,Acinetobacter spp,aminoglycosides
Iceland,,%R,2014,Acinetobacter spp,aminoglycosides
Luxembourg,,%R,2014,Acinetobacter spp,aminoglycosides
Belgium,15.0,N,2015,Acinetobacter spp,aminoglycosides
United Kingdom,153.0,N,2015,Acinetobacter spp,aminoglycosides
Finland,42.0,N,2015,Acinetobacter spp,aminoglycosides
Ireland,80.0,N,2015,Acinetobacter spp,aminoglycosides
Sweden,26.0,N,2015,Acinetobacter spp,aminoglycosides
Denmark,63.0,N,2015,Acinetobacter spp,aminoglycosides
Germany,328.0,N,2015,Acinetobacter spp,aminoglycosides
Austria,63.0,N,2015,Acinetobacter spp,aminoglycosides
Norway,32.0,N,2015,Acinetobacter spp,aminoglycosides
Netherlands,74.0,N,2015,Acinetobacter spp,aminoglycosides
France,431.0,N,2015,Acinetobacter spp,aminoglycosides
Malta,15.0,N,2015,Acinetobacter spp,aminoglycosides
Czech Republic,60.0,N,2015,Acinetobacter spp,aminoglycosides
Slovenia,31.0,N,2015,Acinetobacter spp,aminoglycosides
Slovakia,154.0,N,2015,Acinetobacter spp,aminoglycosides
Portugal,310.0,N,2015,Acinetobacter spp,aminoglycosides
Spain,96.0,N,2015,Acinetobacter spp,aminoglycosides
Latvia,61.0,N,2015,Acinetobacter spp,aminoglycosides
Hungary,465.0,N,2015,Acinetobacter spp,aminoglycosides
Poland,245.0,N,2015,Acinetobacter spp,aminoglycosides
Bulgaria,116.0,N,2015,Acinetobacter spp,aminoglycosides
Cyprus,59.0,N,2015,Acinetobacter spp,aminoglycosides
Italy,656.0,N,2015,Acinetobacter spp,aminoglycosides
Greece,945.0,N,2015,Acinetobacter spp,aminoglycosides
